Geslacht;Leeftijd;LeeftijdNaam;BurgerlijkeStaat;RegioS;RegioNaam;Perioden;BevolkingOp1Januari_1
TotaalManVrouw;10000;Totaal;Gehuwd;GM0638;Zoeterwoude;2021;3769
TotaalManVrouw;10000;Totaal;Verweduwd;GM0484;Alphen aan den Rijn;2021;5121
TotaalManVrouw;10000;Totaal;Verweduwd;GM0377;Bloemendaal;2021;1394
TotaalManVrouw;10000;Totaal;Verweduwd;GM0392;Haarlem;2021;6910
TotaalManVrouw;10000;Totaal;Verweduwd;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
TotaalManVrouw;10000;Totaal;Verweduwd;GM0394;Haarlemmermeer;2021;6278
TotaalManVrouw;10000;Totaal;Verweduwd;GM0397;Heemstede;2021;1818
TotaalManVrouw;10000;Totaal;Verweduwd;GM0534;Hillegom;2021;1217
TotaalManVrouw;10000;Totaal;Verweduwd;GM1884;Kaag en Braassem;2021;1357
TotaalManVrouw;10000;Totaal;Verweduwd;GM0537;Katwijk;2021;3198
TotaalManVrouw;10000;Totaal;Verweduwd;GM0546;Leiden;2021;4545
TotaalManVrouw;10000;Totaal;Verweduwd;GM0547;Leiderdorp;2021;1588
TotaalManVrouw;10000;Totaal;Verweduwd;GM1916;Leidschendam-Voorburg;2021;4330
TotaalManVrouw;10000;Totaal;Verweduwd;GM0553;Lisse;2021;1334
TotaalManVrouw;10000;Totaal;Verweduwd;GM0575;Noordwijk;2021;2256
TotaalManVrouw;10000;Totaal;Verweduwd;GM0576;Noordwijkerhout;2021;0
TotaalManVrouw;10000;Totaal;Verweduwd;GM0579;Oegstgeest;2021;1204
TotaalManVrouw;10000;Totaal;Verweduwd;GM1525;Teylingen;2021;1843
TotaalManVrouw;10000;Totaal;Verweduwd;GM0629;Wassenaar;2021;1673
TotaalManVrouw;10000;Totaal;Verweduwd;GM0473;Zandvoort;2021;1079
TotaalManVrouw;10000;Totaal;Verweduwd;GM0638;Zoeterwoude;2021;403
TotaalManVrouw;10000;Totaal;Gescheiden;GM0484;Alphen aan den Rijn;2021;8540
TotaalManVrouw;10000;Totaal;Gescheiden;GM0377;Bloemendaal;2021;1684
TotaalManVrouw;10000;Totaal;Gescheiden;GM0392;Haarlem;2021;13873
TotaalManVrouw;10000;Totaal;Gescheiden;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
TotaalManVrouw;10000;Totaal;Gescheiden;GM0394;Haarlemmermeer;2021;11779
TotaalManVrouw;10000;Totaal;Gescheiden;GM0397;Heemstede;2021;2255
TotaalManVrouw;10000;Totaal;Gescheiden;GM0534;Hillegom;2021;1811
TotaalManVrouw;10000;Totaal;Gescheiden;GM1884;Kaag en Braassem;2021;1837
TotaalManVrouw;10000;Totaal;Gescheiden;GM0537;Katwijk;2021;3758
TotaalManVrouw;10000;Totaal;Gescheiden;GM0546;Leiden;2021;8926
TotaalManVrouw;10000;Totaal;Gescheiden;GM0547;Leiderdorp;2021;2065
TotaalManVrouw;10000;Totaal;Gescheiden;GM1916;Leidschendam-Voorburg;2021;6921
TotaalManVrouw;10000;Totaal;Gescheiden;GM0553;Lisse;2021;1822
TotaalManVrouw;10000;Totaal;Gescheiden;GM0575;Noordwijk;2021;3698
TotaalManVrouw;10000;Totaal;Gescheiden;GM0576;Noordwijkerhout;2021;0
TotaalManVrouw;10000;Totaal;Gescheiden;GM0579;Oegstgeest;2021;1840
TotaalManVrouw;10000;Totaal;Gescheiden;GM1525;Teylingen;2021;2643
TotaalManVrouw;10000;Totaal;Gescheiden;GM0629;Wassenaar;2021;2091
TotaalManVrouw;10000;Totaal;Gescheiden;GM0473;Zandvoort;2021;2052
TotaalManVrouw;10000;Totaal;Gescheiden;GM0638;Zoeterwoude;2021;504
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0484;Alphen aan den Rijn;2021;1115
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0377;Bloemendaal;2021;110
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0392;Haarlem;2021;1817
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0393;Haarlemmerliede en Spaarnwoude;2021;0
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0394;Haarlemmermeer;2021;1551
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0397;Heemstede;2021;227
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM0534;Hillegom;2021;213
TotaalManVrouw;10010;0 jaar;Totaal burgelijke staat;GM1884;Kaag en Braassem;2021;262
